danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.133,0.00225,9,-32.465,1,0.0387,0.989,0.929,0.108,0.144,73.028,audio_features,3,2u3TXM5CwRovxFJZID2OuF,spotify:track:2u3TXM5CwRovxFJZID2OuF
0.0912,0.00731,7,-35.382,1,0.037,0.973,0.798,0.108,0.0678,77.809,audio_features,1,1HOuETpEjrYbU5Azt6iKjZ,spotify:track:1HOuETpEjrYbU5Azt6iKjZ
0.11,0.00456,0,-35.651,1,0.0409,0.996,0.958,0.108,0.0396,74.013,audio_features,5,0Vjq9kVZr61LfZMcVYAbxS,spotify:track:0Vjq9kVZr61LfZMcVYAbxS
0.158,0.047,7,-32.333,0,0.0451,0.978,0.695,0.125,0.0395,136.431,audio_features,4,6gM3YgCJV3tBzbnYG2ydge,spotify:track:6gM3YgCJV3tBzbnYG2ydge
0.0637,0.0213,2,-33.736,1,0.0416,0.91,0.715,0.0902,0.104,69.868,audio_features,4,0W3znYfIVP37kJl4InZ9lp,spotify:track:0W3znYfIVP37kJl4InZ9lp
0.14,0.0038,0,-35.55,1,0.0453,0.957,0.759,0.122,0.0337,140.91,audio_features,3,6HpMcAZZhc9wNitIohrY76,spotify:track:6HpMcAZZhc9wNitIohrY76
0.15,0.00618,10,-37.04,1,0.0459,0.988,0.702,0.103,0.103,68.849,audio_features,4,3rPFA1lIlvYgmQbblz3sDp,spotify:track:3rPFA1lIlvYgmQbblz3sDp
0.158,0.0191,0,-38.73,1,0.0392,0.994,0.695,0.0783,0.0572,134.441,audio_features,3,4UUTtDXBx9GiedPVzTNL5F,spotify:track:4UUTtDXBx9GiedPVzTNL5F
0.122,0.0116,9,-39.695,1,0.0428,0.98,0.946,0.0801,0.0624,76.316,audio_features,5,2pvqbFiWVpWSsky68vLn1G,spotify:track:2pvqbFiWVpWSsky68vLn1G
0.13,0.00934,10,-36.891,1,0.0378,0.963,0.905,0.0863,0.0361,71.059,audio_features,4,5zafrD1Ovmh2XiuoX3IuUa,spotify:track:5zafrD1Ovmh2XiuoX3IuUa
0.113,0.00386,10,-34.193,1,0.0501,0.878,0.972,0.12,0.0329,73.603,audio_features,4,17Dp0IXJcJoj4s2zuN7x31,spotify:track:17Dp0IXJcJoj4s2zuN7x31
0.161,0.00481,5,-37.464,1,0.0535,0.799,0.909,0.109,0.0316,129.335,audio_features,3,1oOqtVnJU3bjrIqypr0J1V,spotify:track:1oOqtVnJU3bjrIqypr0J1V
0.118,0.00216,1,-37.834,1,0.0443,0.969,0.881,0.137,0.0591,72.639,audio_features,4,6c0Srq5sb8Bvh2SckSv9gy,spotify:track:6c0Srq5sb8Bvh2SckSv9gy
0.113,0.00397,7,-36.184,1,0.0464,0.898,0.963,0.11,0.0554,74.33,audio_features,3,29KXf3gbyfbtG5OWTxnssl,spotify:track:29KXf3gbyfbtG5OWTxnssl
0.151,0.00951,10,-36.247,1,0.0384,0.991,0.762,0.0871,0.0722,139.044,audio_features,4,26aVqLHRrWVeWkeDF7BcnS,spotify:track:26aVqLHRrWVeWkeDF7BcnS
0.145,0.0034,2,-36.838,1,0.0387,0.949,0.846,0.109,0.143,69.512,audio_features,3,0DjPkjHwrelEO2WEfoaxOM,spotify:track:0DjPkjHwrelEO2WEfoaxOM
0.144,0.0142,7,-36.019,1,0.0471,0.938,0.699,0.101,0.0332,138.625,audio_features,4,5t2EOrgbyupZmjFUROk1E0,spotify:track:5t2EOrgbyupZmjFUROk1E0
0.181,0.00787,1,-31.671,1,0.0469,0.994,0.819,0.0942,0.0569,71.085,audio_features,5,7eknTLiUUbGspdGNAfCxaz,spotify:track:7eknTLiUUbGspdGNAfCxaz
0.136,0.00233,1,-40.087,1,0.0473,0.976,0.567,0.22,0.0754,71.801,audio_features,5,0T6aebCof9rkuZNiBKhyYA,spotify:track:0T6aebCof9rkuZNiBKhyYA
0.0677,0.00794,11,-34.426,1,0.0419,0.99,0.983,0.108,0.0338,64.847,audio_features,3,7s8dqOwLRy0Db313r7VmjS,spotify:track:7s8dqOwLRy0Db313r7VmjS
0.158,0.00645,2,-32.55,1,0.0475,0.95,0.951,0.108,0.0592,69.664,audio_features,3,7vOfAUgHjLDiHwgjAKn9c4,spotify:track:7vOfAUgHjLDiHwgjAKn9c4
0.0762,0.00694,4,-38.45,0,0.0374,0.972,0.913,0.0969,0.191,64.959,audio_features,4,0ShzszsULs5leraLg97XNG,spotify:track:0ShzszsULs5leraLg97XNG
0.205,0.00314,10,-37.077,1,0.0367,0.989,0.784,0.0898,0.064,68.398,audio_features,4,2iWt83ffEevRHEPJiz6nJN,spotify:track:2iWt83ffEevRHEPJiz6nJN
0.182,0.00508,2,-35.124,1,0.0398,0.995,0.886,0.0927,0.106,69.018,audio_features,4,4yxzs04RjHm7phdG6qNgUH,spotify:track:4yxzs04RjHm7phdG6qNgUH
0.0657,0.01,4,-34.52,1,0.0449,0.991,0.764,0.104,0.0472,66.705,audio_features,3,3xLHdlKxeLiEqWy7BdYYze,spotify:track:3xLHdlKxeLiEqWy7BdYYze
0.0565,0.00166,0,-35.243,1,0.0572,0.954,0.891,0.113,0.0378,65.601,audio_features,4,3dQv95YPj2n9tesVZKN4FT,spotify:track:3dQv95YPj2n9tesVZKN4FT
